,mw_u,mw_p,ks_stat,ks_p,t_stat,t_p,horizon,comparison,symbol
679,296.0,0.4954974390444197,0.21739130434782608,0.6601009653401484,0.3823361415142601,0.7040551444348433,20,double_top_vs_random,WMT
680,333.0,0.22920864740434965,0.35144927536231885,0.09085068635960002,1.1547871923264987,0.2552421588735885,20,ma_crossover_vs_random,WMT
681,265.0,0.8230506796077329,0.23731884057971014,0.42935197540529324,-1.1386483797418667,0.26142190190607156,60,double_top_vs_ma_crossover,WMT
682,278.0,0.775009405339757,0.34782608695652173,0.12429453839909903,-0.2628586029112155,0.7939879765561866,60,double_top_vs_random,WMT
683,314.0,0.4248397357489112,0.16666666666666666,0.8088973425860589,1.037608149924471,0.30499705107974817,60,ma_crossover_vs_random,WMT
684,199.0,0.007241408716817698,0.56,0.014832742994753073,3.0597222127078365,0.005046247539667965,5,double_top_vs_ma_crossover,WRB
685,72.0,0.10293796119400174,0.5,0.16782134274394334,1.915981863437574,0.0722435648241774,5,double_top_vs_random,WRB
686,104.0,0.4541259686860524,0.32,0.39717638029487795,-0.7752129833387089,0.4469076062686339,5,ma_crossover_vs_random,WRB
687,207.0,0.002902906909337511,0.6,0.006911189532402644,3.72256578535277,0.001589818749562806,20,double_top_vs_ma_crossover,WRB
688,75.0,0.0631229958215426,0.5,0.16782134274394334,2.357382962118334,0.032785727096637,20,double_top_vs_random,WRB
689,77.0,0.0828374251588063,0.44,0.09825520942448249,-1.9496520592307114,0.060887507918413714,20,ma_crossover_vs_random,WRB
690,153.0,0.2189855905792455,0.31666666666666665,0.39807518050664037,1.4078698091477588,0.18189575871998329,60,double_top_vs_ma_crossover,WRB
691,54.0,0.7906436593681585,0.4,0.41752365281777043,0.9845121033717257,0.3415458971620071,60,double_top_vs_random,WRB
692,107.0,0.6366016325636008,0.3,0.4551343899181365,-0.5984469545978823,0.555422390857632,60,ma_crossover_vs_random,WRB
693,221.0,0.25936745137182515,0.3333333333333333,0.2523056101014512,1.084351320535169,0.2874633923745386,5,double_top_vs_ma_crossover,WSM
694,86.0,0.43513105132562235,0.4166666666666667,0.2557751845677543,-0.008972454023193105,0.9929742754571855,5,double_top_vs_random,WSM
695,180.0,1.0,0.21666666666666667,0.7589229430290317,-0.4595488567110187,0.6535393091157631,5,ma_crossover_vs_random,WSM
696,252.0,0.046457945394080866,0.4666666666666667,0.03537621061181895,1.910321689530006,0.06751188115247082,20,double_top_vs_ma_crossover,WSM
